,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
1861,60092,3312,11947,13218,13726,17889,91517,14147,20992,6520,10542,9552,9848,6750,2656,10510,15312,109,36
1862,47642,3942,15652,14093,7426,6529,54907,4054,8535,5196,8248,6881,7274,6003,2502,6214,12115,113,36
1863,34561,4204,13451,10461,3571,2874,40431,4173,6823,4183,6885,5004,5465,3528,1597,2773,10253,17,36
1864,30199,2852,10308,9182,4460,3397,40542,3847,8323,3721,5995,5228,5356,3792,1311,2969,9441,23,36
1865,204168,19495,53465,60566,38896,31746,249045,28465,42551,19754,29044,23766,28076,22985,10449,43955,57850,27,36
1866,73008,7110,24512,25733,9044,6609,92104,10384,15509,8455,15355,11931,11892,8270,3267,7041,28472,45,36
1867,510165,49494,123741,147912,105288,83730,617804,59217,102788,54754,87966,75958,81029,57367,24575,74150,158694,55,36
1868,159917,19076,53357,49274,22777,15433,191432,23099,32464,18886,27632,23243,25896,16840,6569,16803,49281,65,36
1869,1030141,101469,292373,276103,196946,163250,1231210,172680,158737,87470,139218,115341,135875,110829,51274,259786,327697,103,36
1870,129659,12106,39462,37400,22291,18400,153338,18451,24742,13476,20276,17313,18335,14065,6415,20265,32287,111,36
1871,29320,3432,12104,9264,2832,1688,34227,5450,5001,2737,4802,4236,5252,3225,1300,2224,8131,121,36
1872,60124,5744,21231,18039,8149,6961,71187,10249,11204,6494,10326,7744,8804,7055,2896,6415,18888,15,36
1873,42717,4664,14257,13683,5614,4499,54812,7341,10791,4912,7092,5529,7718,5375,1695,4359,11736,51,36
1874,80201,10471,30749,24278,8412,6291,98819,9987,19347,9818,15075,12003,12460,8704,3121,8304,25633,75,36
1875,40004,3587,13077,11505,6124,5711,52579,4788,12575,4899,7511,6300,6369,4458,1389,4290,9939,77,36
1876,35151,4958,12827,9623,4380,3363,41120,6627,6140,4072,6041,4523,5071,3289,1436,3921,8026,39,36
1877,63889,6627,22578,20799,8181,5704,75068,6882,11625,6739,12032,11132,10953,7061,2330,6314,19952,117,36
